Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0023763,0.002885,0.37586,0,0,0,1.4137,0.0077794,-3.9064E-07,1.1244E-06,0.024776,-1.6412E-05,0.017048,0,0,0,0,0,0,package://laptop/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://laptop/meshes/base_link.STL,,pc portatile tastiera-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
screen,0.19,0.0017309,-0.12839,0,0,0,0.63357,0.0034812,-3.1839E-09,-4.7875E-08,0.011086,-2.1031E-07,0.0076096,0,0,0,0,0,0,package://laptop/meshes/screen.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://laptop/meshes/screen.STL,,pc portatile schermo-1,Origin_joint1,axis1,joint1,fixed,-0.18766,-0.1672,0.25528,-0.34907,0,0,base_link,0,0,0,0,0,0.1,0.2,,,,0.5,,,,
